Acanthis flammea
Accipiter cooperii
Accipiter gentilis
Accipiter striatus
Actitis macularius
Aechmophorus clarkii
Aechmophorus occidentalis
Aeronautes saxatalis
Agelaius phoeniceus
Aimophila ruficeps
Aix sponsa
Alectoris chukar
Ammodramus savannarum
Ammospiza leconteii
Ammospiza maritima
Ammospiza nelsoni
Amphispiza bilineata
Anas acuta
Anas crecca
Anas fulvigula
Anas platyrhynchos
Anas rubripes
Anhinga anhinga
Anthus spragueii
Antigone canadensis
Antrostomus carolinensis
Antrostomus vociferus
Aphelocoma californica
Aphelocoma woodhouseii
Aquila chrysaetos
Aramus guarauna
Archilochus alexandri
Archilochus colubris
Ardea alba
Ardea herodias
Arremonops rufivirgatus
Artemisiospiza belli
Artemisiospiza nevadensis
Asio flammeus
Athene cunicularia
Auriparus flaviceps
Aythya affinis
Aythya americana
Aythya collaris
Aythya marila
Aythya valisineria
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Bartramia longicauda
Bombycilla cedrorum
Bombycilla garrulus
Bonasa umbellus
Botaurus lentiginosus
Brachyramphus marmoratus
Branta canadensis
Bubo virginianus
Bubulcus ibis
Bucephala albeola
Bucephala clangula
Bucephala islandica
Buteo jamaicensis
Buteo lineatus
Buteo platypterus
Buteo regalis
Buteo sp.
Buteo swainsoni
Butorides virescens
Calamospiza melanocorys
Calcarius lapponicus
Calcarius ornatus
Calidris minutilla
Callipepla californica
Callipepla gambelii
Callipepla squamata
Calypte anna
Calypte costae
Campylorhynchus brunneicapillus
Caracara cheriway
Cardellina canadensis
Cardellina pusilla
Cardinalis cardinalis
Cardinalis sinuatus
Carduelis flammea / hornemanni
Cathartes aura
Catharus fuscescens
Catharus guttatus
Catharus minimus
Catharus ustulatus
Catherpes mexicanus
Centrocercus urophasianus
Centronyx bairdii
Centronyx henslowii
Certhia americana
Chaetura pelagica
Chaetura vauxi
Chamaea fasciata
Charadrius vociferus
Chlidonias niger
Chondestes grammacus
Chordeiles acutipennis
Chordeiles minor
Chroicocephalus philadelphia
Cinclus mexicanus
Circus hudsonius
Cistothorus palustris
Cistothorus platensis
Coccothraustes vespertinus
Coccyzus americanus
Coccyzus erythropthalmus
Colaptes auratus
Colaptes auratus auratus
Colaptes auratus cafer
Colaptes chrysoides
Colinus virginianus
Columba livia
Columbina inca
Columbina passerina
Contopus cooperi
Contopus sordidulus
Contopus virens
Coragyps atratus
Corvus brachyrhynchos
Corvus brachyrhynchos / ossifragus
Corvus caurinus
Corvus corax
Corvus cryptoleucus
Corvus cryptoleucus / corax
Corvus ossifragus
Cyanocitta cristata
Cyanocitta stelleri
Cyanocorax yncas
Cygnus buccinator
Cygnus columbianus
Dendragapus fuliginosus
Dendrocygna autumnalis
Dendrocygna bicolor
Dolichonyx oryzivorus
Dryobates albolarvatus
Dryobates borealis
Dryobates nuttallii
Dryobates pubescens
Dryobates scalaris
Dryobates villosus
Dryocopus pileatus
Dumetella carolinensis
Egretta caerulea
Egretta thula
Egretta tricolor
Elanoides forficatus
Empidonax alnorum
Empidonax difficilis
Empidonax difficilis / occidentalis
Empidonax flaviventris
Empidonax hammondii
Empidonax minimus
Empidonax oberholseri
Empidonax occidentalis
Empidonax sp.
Empidonax traillii
Empidonax virescens
Empidonax wrightii
Eremophila alpestris
Eudocimus albus
Euphagus carolinus
Euphagus cyanocephalus
Falcipennis canadensis
Falco columbarius
Falco mexicanus
Falco peregrinus
Falco sparverius
Fulica americana
Gallinago delicata
Gallinula galeata
Gavia immer
Gavia stellata
Geococcyx californianus
Geothlypis formosa
Geothlypis philadelphia
Geothlypis tolmiei
Geothlypis trichas
Glaucidium gnoma
Gull sp.
Gymnorhinus cyanocephalus
Haemorhous cassinii
Haemorhous mexicanus
Haemorhous purpureus
Haliaeetus leucocephalus
Helmitheros vermivorum
Himantopus mexicanus
Hirundo rustica
Hydroprogne caspia
Hylocichla mustelina
Icteria virens
Icterus bullockii
Icterus cucullatus
Icterus galbula
Icterus parisorum
Icterus spurius
Ictinia mississippiensis
Ixobrychus exilis
Ixoreus naevius
Junco hyemalis
Junco hyemalis caniceps
Junco hyemalis hyemalis
Junco hyemalis oreganus
Lagopus lagopus
Lanius ludovicianus
Larus argentatus
Larus californicus
Larus canus
Larus delawarensis
Larus glaucescens
Larus marinus
Leiothlypis celata
Leiothlypis luciae
Leiothlypis peregrina
Leiothlypis ruficapilla
Leiothlypis virginiae
Leucophaeus atricilla
Leucophaeus pipixcan
Limnothlypis swainsonii
Limosa fedoa
Lophodytes cucullatus
Loxia curvirostra
Loxia leucoptera
Mareca americana
Mareca strepera
Megaceryle alcyon
Megascops asio
Melanerpes aurifrons
Melanerpes carolinus
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes lewis
Melanerpes uropygialis
Meleagris gallopavo
Melospiza georgiana
Melospiza lincolnii
Melospiza melodia
Melozone aberti
Melozone crissalis
Melozone fusca
Mergus merganser
Mergus serrator
Mimus polyglottos
Mniotilta varia
Molothrus aeneus
Molothrus ater
Myadestes townsendi
Mycteria americana
Myiarchus cinerascens
Myiarchus crinitus
Myiarchus tyrannulus
Nucifraga columbiana
Numenius americanus
Nyctanassa violacea
Nycticorax nycticorax
Oporornis agilis
Oreortyx pictus
Oreoscoptes montanus
Oxyura jamaicensis
Pandion haliaetus
Parabuteo unicinctus
Parkesia motacilla
Parkesia noveboracensis
Passer domesticus
Passer montanus
Passerculus sandwichensis
Passerella iliaca
Passerina amoena
Passerina caerulea
Passerina ciris
Passerina cyanea
Passerina versicolor
Patagioenas fasciata
Pelecanus erythrorhynchos
Pelecanus occidentalis
Perdix perdix
Perisoreus canadensis
Petrochelidon fulva
Petrochelidon pyrrhonota
Petrochelidon pyrrhonota / fulva
Peucaea aestivalis
Peucaea cassinii
Phainopepla nitens
Phalacrocorax auritus
Phalacrocorax brasilianus
Phalaenoptilus nuttallii
Phalaropus tricolor
Phasianus colchicus
Pheucticus ludovicianus
Pheucticus melanocephalus
Phylloscopus borealis
Pica hudsonia
Pica nuttalli
Picoides arcticus
Picoides dorsalis
Pinicola enucleator
Pipilo chlorurus
Pipilo erythrophthalmus
Pipilo maculatus
Piranga flava
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Pitangus sulphuratus
Platalea ajaja
Plegadis chihi
Plegadis falcinellus
Podiceps auritus
Podiceps grisegena
Podiceps nigricollis
Podilymbus podiceps
Poecile atricapillus
Poecile carolinensis
Poecile gambeli
Poecile hudsonicus
Poecile rufescens
Polioptila caerulea
Polioptila melanura
Pooecetes gramineus
Porzana carolina
Progne subis
Protonotaria citrea
Psaltriparus minimus
Pyrocephalus rubinus
Quiscalus major
Quiscalus mexicanus
Quiscalus quiscula
Rallus crepitans
Rallus limicola
Recurvirostra americana
Regulus calendula
Regulus satrapa
Rhynchophanes mccownii
Riparia riparia
Salpinctes obsoletus
Sayornis nigricans
Sayornis phoebe
Sayornis saya
Scolopax minor
Seiurus aurocapilla
Selasphorus calliope
Selasphorus platycercus
Selasphorus rufus
Setophaga americana
Setophaga caerulescens
Setophaga castanea
Setophaga cerulea
Setophaga citrina
Setophaga coronata
Setophaga coronata audoboni
Setophaga coronata coronata
Setophaga discolor
Setophaga dominica
Setophaga fusca
Setophaga graciae
Setophaga magnolia
Setophaga nigrescens
Setophaga occidentalis
Setophaga palmarum
Setophaga pensylvanica
Setophaga petechia
Setophaga pinus
Setophaga ruticilla
Setophaga striata
Setophaga tigrina
Setophaga townsendi
Setophaga virens
Sialia currucoides
Sialia mexicana
Sialia sialis
Sitta canadensis
Sitta carolinensis
Sitta pusilla
Sitta pygmaea
Spatula clypeata
Spatula cyanoptera
Spatula discors
Sphyrapicus nuchalis
Sphyrapicus ruber
Sphyrapicus sp.
Sphyrapicus thyroideus
Sphyrapicus varius
Spinus lawrencei
Spinus pinus
Spinus psaltria
Spinus tristis
Spiza americana
Spizella atrogularis
Spizella breweri
Spizella pallida
Spizella passerina
Spizella pusilla
Spizelloides arborea
Stelgidopteryx serripennis
Sterna forsteri
Sterna hirundo
Sterna paradisaea
Sternula antillarum
Streptopelia decaocto
Strix varia
Sturnella magna
Sturnella magna / neglecta
Sturnella neglecta
Sturnus vulgaris
Tachycineta bicolor
Tachycineta thalassina
Thryomanes bewickii
Thryothorus ludovicianus
Toxostoma crissale
Toxostoma curvirostre
Toxostoma longirostre
Toxostoma redivivum
Toxostoma rufum
Tringa flavipes
Tringa melanoleuca
Tringa semipalmata
Tringa solitaria
Trochilid sp.
Troglodytes aedon
Troglodytes hiemalis
Troglodytes pacificus
Turdus migratorius
Tympanuchus cupido
Tympanuchus phasianellus
Tyrannus couchii
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus verticalis
Tyrannus vociferans
Vermivora chrysoptera
Vermivora cyanoptera
Vireo bellii
Vireo cassinii
Vireo flavifrons
Vireo gilvus
Vireo griseus
Vireo huttoni
Vireo olivaceus
Vireo philadelphicus
Vireo plumbeus
Vireo solitarius
Vireo vicinior
Woodpecker sp.
Xanthocephalus xanthocephalus
Zenaida asiatica
Zenaida macroura
Zonotrichia albicollis
Zonotrichia atricapilla
Zonotrichia leucophrys
